rank,name,category,repoUrl,commit,level,levelName,earned,max,percent,truncated,isStressCase,detectedHarnesses
1,harness-score,control-ceiling,https://github.com/paladini/harness-score.git,27bb2fa7f9da2e370cfb3d9f15c88b867e23d5c9,4,Self-correcting,108,108,100,false,false,"antigravity;claude-code;cline;codex;cursor;windsurf"
2,anthropic-cookbook,ai-lab,https://github.com/anthropics/anthropic-cookbook.git,67ce644d33e5933f0bcc0b6eb4113df41bbf3a8f,3,Sensing,99,108,92,false,false,"claude-code"
3,promptfoo,prompt-eval-engineering,https://github.com/promptfoo/promptfoo.git,688a90561180a6045ce3c8e8805d04bc23811bd7,4,Self-correcting,95,108,88,false,false,"antigravity;claude-code;codex;cursor"
4,goose,ai-first-dev-tool,https://github.com/block/goose.git,dae512010a9acf1eed2cf7034a64cdd02547641c,3,Sensing,80,108,74,false,false,"antigravity;claude-code;codex"
5,continue,ai-first-dev-tool,https://github.com/continuedev/continue.git,d0a3c0b626b5bebc3bef4742eec05a0242be0bab,3,Sensing,79,108,73,false,false,"claude-code;codex;continue"
6,cline,ai-first-dev-tool,https://github.com/cline/cline.git,a41129a5dbda29c4e6b84968a2a798039ba32ab3,1,Documented,78,108,72,false,false,"antigravity;claude-code;cline;codex"
7,zed,ai-first-dev-tool,https://github.com/zed-industries/zed.git,93b846b2a65715977841dd1fffcb3dce40588c66,3,Sensing,75,108,69,false,true,"antigravity;claude-code;codex"
8,opencode,ai-first-dev-tool,https://github.com/sst/opencode.git,c69abee0c73253aebae65e87e4e1b9bfa8c38021,1,Documented,74,108,69,false,false,"codex"
9,langfuse,prompt-eval-engineering,https://github.com/langfuse/langfuse.git,0febc33a0fb42388010ed908b474b5102e216123,1,Documented,73,108,68,false,true,"antigravity;claude-code;codex"
10,fakeflix,harness-engineering-exemplar,https://github.com/tech-leads-club/fakeflix.git,62dd3cb61bbe6a6e6acbd0f171e0ea1067331445,1,Documented,72,108,67,false,false,"antigravity;codex;cursor"
11,openhands,ai-first-dev-tool,https://github.com/All-Hands-AI/OpenHands.git,9c5d4dce546eaad2425a76c09e1717ddd9df9819,1,Documented,72,108,67,false,false,"antigravity;codex"
12,mcp-servers,artifact-governance,https://github.com/modelcontextprotocol/servers.git,d31124c982401739917fd817c2a59db344529c16,1,Documented,66,108,61,false,false,"claude-code;codex"
13,smolagents,ai-lab,https://github.com/huggingface/smolagents.git,e3a5b8994b301983b91c0325546e9dc82eab8cf0,0,Unharnessed,53,108,49,false,false,""
14,dspy,prompt-eval-engineering,https://github.com/stanfordnlp/dspy.git,027d9f45f4d60aedadee3fd587d1f4f3584567df,0,Unharnessed,52,108,48,false,false,""
15,aider,ai-first-dev-tool,https://github.com/Aider-AI/aider.git,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,0,Unharnessed,46,108,43,false,false,""
16,openai-evals,prompt-eval-engineering,https://github.com/openai/evals.git,8eac7a7de5215c907fbddc30efdaf316913eccdd,0,Unharnessed,41,108,38,false,false,""
17,execa,control-non-ai-quality,https://github.com/sindresorhus/execa.git,5944b2d176c69591d0eb35a383d0c16758060ae8,0,Unharnessed,36,108,33,false,true,""
18,awesome-cursorrules,artifact-governance,https://github.com/PatrickJS/awesome-cursorrules.git,b044f956f021b6e8877f16781bcfc466a6a120e9,0,Unharnessed,36,108,33,false,true,""
19,anthropic-skills,harness-engineering-exemplar,https://github.com/anthropics/skills.git,9d2f1ae187231d8199c64b5b762e1bdf2244733d,0,Unharnessed,17,108,16,false,false,""
20,octocat-hello-world,control-floor,https://github.com/octocat/Hello-World.git,7fd1a60b01f91b314f59955a4e4d4e80d8edf11d,0,Unharnessed,14,108,13,false,false,""
